,gene_id,gene,From,Entry,Gene Names (primary),LOEUF,transcript,repressor,activator,sfari
901,ENSG00000198346,ZNF813,ZNF813,Q6ZN06,ZNF813,1.193,ENST00000396403,False,False,False
902,ENSG00000204514,ZNF814,ZNF814,B7Z6K7,ZNF814,1.652,ENST00000435989,False,False,False
903,ENSG00000180257,ZNF816,ZNF816,Q0VGE8,ZNF816,1.83,ENST00000444460,True,False,False
904,ENSG00000102984,ZNF821,ZNF821,O75541,ZNF821,0.525,ENST00000425432,False,False,False
905,ENSG00000197933,ZNF823,ZNF823,P16415,ZNF823,0.873,ENST00000341191,False,False,False
906,ENSG00000151612,ZNF827,ZNF827,Q17R98,ZNF827,0.197,ENST00000508784,True,False,True
907,ENSG00000185869,ZNF829,ZNF829,Q3KNS6,ZNF829,0.911,ENST00000391711,False,False,False
908,ENSG00000167766,ZNF83,ZNF83,P51522,ZNF83,1.882,ENST00000301096,True,False,False
909,ENSG00000198783,ZNF830,ZNF830,Q96NB3,ZNF830,0.77,ENST00000361952,True,False,False
910,ENSG00000124203,ZNF831,ZNF831,Q5JPB2,ZNF831,0.822,ENST00000371030,True,False,False
911,ENSG00000127903,ZNF835,ZNF835,Q9Y2P0,ZNF835,1.854,ENST00000537055,False,False,False
912,ENSG00000196267,ZNF836,ZNF836,Q6ZNA1,ZNF836,1.877,ENST00000682614,False,False,False
913,ENSG00000152475,ZNF837,ZNF837,Q96EG3,ZNF837,,ENST00000597582,False,False,False
914,ENSG00000198040,ZNF84,ZNF84,P51523,ZNF84,1.132,ENST00000539354,False,False,False
915,ENSG00000197608,ZNF841,ZNF841,Q6ZN19,ZNF841,1.581,ENST00000594440,True,False,False
916,ENSG00000176723,ZNF843,ZNF843,Q8N446,ZNF843,1.899,ENST00000315678,False,False,False
917,ENSG00000223547,ZNF844,ZNF844,Q08AG5,ZNF844,1.716,ENST00000439326,False,False,False
918,ENSG00000213799,ZNF845,ZNF845,Q96IR2,ZNF845,0.942,ENST00000458035,False,False,False
919,ENSG00000196605,ZNF846,ZNF846,Q147U1,ZNF846,1.386,ENST00000397902,False,False,False
920,ENSG00000105750,ZNF85,ZNF85,Q03923,ZNF85,1.083,ENST00000328178,True,False,False
921,ENSG00000267041,ZNF850,ZNF850,A8MQ14,ZNF850,1.343,ENST00000591344,False,False,False
922,ENSG00000178917,ZNF852,ZNF852,Q6ZMS4,ZNF852,1.008,ENST00000436261,False,False,False
923,ENSG00000236609,ZNF853,ZNF853,P0CG23,ZNF853,0.861,ENST00000457543,True,False,False
924,ENSG00000197385,ZNF860,ZNF860,A6NHJ4,ZNF860,1.892,ENST00000360311,False,False,False
925,ENSG00000261221,ZNF865,ZNF865,P0CJ78,ZNF865,1.076,ENST00000568956,True,False,False
926,ENSG00000257446,ZNF878,ZNF878,C9JN71,ZNF878,1.585,ENST00000547628,False,False,False
927,ENSG00000234284,ZNF879,ZNF879,B4DU55,ZNF879,1.02,ENST00000444149,False,False,False
928,ENSG00000221923,ZNF880,ZNF880,Q6PDB4,ZNF880,1.523,ENST00000422689,False,False,False
929,ENSG00000228623,ZNF883,ZNF883,P0CG24,ZNF883,,,False,False,False
930,ENSG00000213793,ZNF888,ZNF888,P0CJ79,ZNF888,1.665,ENST00000638862,True,False,False
931,ENSG00000214029,ZNF891,ZNF891,A8MT65,ZNF891,1.872,ENST00000537226,False,False,False
932,ENSG00000213988,ZNF90,ZNF90,Q03938,ZNF90,1.288,ENST00000418063,False,False,False
933,ENSG00000167232,ZNF91,ZNF91,Q05481,ZNF91,1.14,ENST00000300619,False,False,False
934,ENSG00000146757,ZNF92,ZNF92,Q03936,ZNF92,1.583,ENST00000328747,False,False,False
935,ENSG00000184635,ZNF93,ZNF93,P35789,ZNF93,0.91,ENST00000343769,False,False,False
936,ENSG00000197360,ZNF98,ZNF98,A6NK75,ZNF98,1.477,ENST00000357774,True,False,False
937,ENSG00000213973,ZNF99,ZNF99,A8MXY4,ZNF99,1.168,ENST00000596209,False,False,False
938,ENSG00000152467,ZSCAN1,ZSCAN1,Q8NBB4,ZSCAN1,1.354,ENST00000282326,False,False,False
939,ENSG00000130182,ZSCAN10,ZSCAN10,Q96SZ4,ZSCAN10,1.312,ENST00000576985,False,False,False
940,ENSG00000158691,ZSCAN12,ZSCAN12,O43309,ZSCAN12,1.117,ENST00000684592,True,False,False
941,ENSG00000196812,ZSCAN16,ZSCAN16,Q9H4T2,ZSCAN16,1.35,ENST00000340487,True,False,False
942,ENSG00000121413,ZSCAN18,ZSCAN18,Q8TBC5,ZSCAN18,0.817,ENST00000601144,True,False,False
943,ENSG00000176371,ZSCAN2,ZSCAN2,Q7Z7L9,ZSCAN2,0.739,ENST00000546148,True,False,False
944,ENSG00000121903,ZSCAN20,ZSCAN20,P17040,ZSCAN20,0.507,ENST00000684572,True,True,False
945,ENSG00000166529,ZSCAN21,ZSCAN21,Q9Y5A6,ZSCAN21,1.064,ENST00000292450,True,False,False
946,ENSG00000182318,ZSCAN22,ZSCAN22,P10073,ZSCAN22,0.985,ENST00000329665,True,False,False
947,ENSG00000187987,ZSCAN23,ZSCAN23,Q3MJ62,ZSCAN23,1.351,ENST00000289788,True,False,False
948,ENSG00000197037,ZSCAN25,ZSCAN25,Q6NSZ9,ZSCAN25,0.963,ENST00000394152,True,False,False
949,ENSG00000197062,ZSCAN26,ZSCAN26,Q16670,ZSCAN26,1.566,ENST00000421553,True,False,False
950,ENSG00000140265,ZSCAN29,ZSCAN29,Q8IWY8,ZSCAN29,0.922,ENST00000684362,False,False,False
951,ENSG00000186814,ZSCAN30,ZSCAN30,Q86W11,ZSCAN30,1.048,ENST00000333206,True,False,False
952,ENSG00000235109,ZSCAN31,ZSCAN31,Q96LW9,ZSCAN31,0.937,ENST00000344279,True,False,False
953,ENSG00000140987,ZSCAN32,ZSCAN32,Q9NX65,ZSCAN32,1.391,ENST00000396852,False,False,False
954,ENSG00000180532,ZSCAN4,ZSCAN4,Q8NAM6,ZSCAN4,1.49,ENST00000318203,True,False,False
955,ENSG00000131848,ZSCAN5A,ZSCAN5A,Q9BUG6,ZSCAN5A,0.838,ENST00000683990,True,False,False
956,ENSG00000197213,ZSCAN5B,ZSCAN5B,A6NJL1,ZSCAN5B,1.492,ENST00000586855,True,False,False
957,ENSG00000204532,ZSCAN5C,ZSCAN5C,A6NGD5,ZSCAN5C,0.995,ENST00000534327,True,False,False
958,ENSG00000137185,ZSCAN9,ZSCAN9,O15535,ZSCAN9,1.137,ENST00000252207,True,False,False
959,ENSG00000153975,ZUFSP,ZUFSP,Q96AP4,ZUP1,1.119,ENST00000368576,False,False,False
960,ENSG00000198205,ZXDA,ZXDA,P98168,ZXDA,,,False,True,False
961,ENSG00000198455,ZXDB,ZXDB,P98169,ZXDB,,,False,True,False
962,ENSG00000070476,ZXDC,ZXDC,Q2QGD7,ZXDC,1.189,ENST00000389709,True,True,False
963,ENSG00000100105,PATZ1,PATZ1,Q9HBE1,PATZ1,0.331,ENST00000266269,True,False,False
964,ENSG00000112365,ZBTB24,ZBTB24,O43167,ZBTB24,0.763,ENST00000230122,True,False,False
965,ENSG00000171443,ZNF524,ZNF524,Q96C55,ZNF524,1.925,ENST00000301073,False,False,False
966,ENSG00000161914,ZNF653,ZNF653,Q96CK0,ZNF653,0.948,ENST00000293771,True,False,False
967,ENSG00000198839,ZNF277,ZNF277,Q9NRM2,ZNF277,1.149,ENST00000361822,True,False,False
968,ENSG00000243943,ZNF512,ZNF512,Q96ME7,ZNF512,0.489,ENST00000355467,True,False,False
969,ENSG00000148516,ZEB1,ZEB1,P37275,ZEB1,0.339,ENST00000424869,True,False,False
970,ENSG00000169554,ZEB2,ZEB2,O60315,ZEB2,0.114,ENST00000627532,True,False,False
971,ENSG00000140836,ZFHX3,ZFHX3,Q15911,ZFHX3,0.189,ENST00000268489,True,False,False
972,ENSG00000091656,ZFHX4,ZFHX4,Q86UP3,ZFHX4,0.244,ENST00000651372,True,True,False
973,ENSG00000124496,TRERF1,TRERF1,Q96PN7,TRERF1,0.313,ENST00000372922,False,True,False
974,ENSG00000118156,ZNF541,ZNF541,Q9H0D2,ZNF541,0.278,ENST00000391901,True,False,False
975,ENSG00000001167,NFYA,NFYA,P23511,NFYA,0.68,ENST00000341376,False,True,False
976,ENSG00000139793,MBNL2,MBNL2,Q5VZF2,MBNL2,0.559,ENST00000679496,False,False,False
